seed,sigma,final_mse,mse_auc,convergence_month,insurer_gap,group_gap,worst_group_mse
11,0.01,0.0069235339976498845,0.002223582930202679,113,0.006007258944747832,0.0021044274987500862,0.007723687632769248
11,0.05,0.16400362032208052,0.023182066130915415,120,0.16020577425714938,0.055822822176996155,0.18107444833389924
11,0.1,0.6481946375049157,0.08659696446764084,120,0.6381962970007666,0.20785019688132528,0.7149438709511029
12,0.0,0.0024036179812396445,0.0015385193503133197,1,0.00014253477420974952,0.007237937803114623,0.007725284912243416
12,0.01,0.0035532631168566143,0.0023762218782082483,104,0.0008532512246720197,0.009420106221941785,0.010369702571644693
12,0.05,0.021135241122449862,0.019207159855166814,45,0.010820240671685797,0.031301912185542,0.042124345079350825
12,0.1,0.05029689306329652,0.06798133136955198,61,0.03170992091825796,0.06274216067155305,0.09170087420093927
13,0.0,0.0017983077329865548,0.002156785480674058,4,9.71938571773499e-06,0.0046347697134207265,0.005115017060211285
13,0.01,0.0029563505981308443,0.0025893580099269234,12,0.0007180905725780132,0.0059881906150686375,0.007039657689103392
13,0.05,0.020282665111745694,0.007842316322557554,111,0.010169208280560064,0.022884700006057992,0.03419060011616756
13,0.1,0.04720926635809883,0.014838980807366446,31,0.013257038172491941,0.04311971682759856,0.07358135899167295
14,0.0,0.0011883900474404035,0.0011040444136264582,13,2.2613663949827946e-05,0.002278865629032374,0.002792657705036427
14,0.01,0.0013875793842594605,0.002420952603492317,1,7.535465980449497e-05,0.003031554537722984,0.0034869910865852997
14,0.05,0.005561143711215922,0.02671165037757424,34,0.0014262139859908297,0.006939139607417289,0.009506660368916588
14,0.1,0.014905725657601388,0.09797311127144283,78,0.003534329391490507,0.014486799271125932,0.02130801045511628
15,0.0,0.0009649375591393643,0.0008807471497843876,6,2.1888651117450604e-05,0.0021224624685926333,0.0024862869986540933
15,0.01,0.0015499035865540155,0.0021816348695506554,11,0.0003717220372413622,0.0032459445095847513,0.0036851804803929773
15,0.05,0.011491895071119931,0.022246731367118567,73,0.007325749999957337,0.017004189870349264,0.01992034809189782
15,0.1,0.012948342205102988,0.07482241158027825,114,0.005151286798458581,0.01805515028116373,0.021799658472996208
16,0.0,0.0009544305657167348,0.001148189647908061,14,6.719398204709664e-06,0.0016180120571761976,0.0018982605428637118
16,0.01,0.011107077098535437,0.0025931392011819287,120,0.010186509262164708,0.0020645238649985506,0.012135159485054593
16,0.05,0.26546746705758295,0.03509342028757207,120,0.2637244423028799,0.04279779400165362,0.2823414528840456
16,0.1,0.7289551422726427,0.10029377081644596,120,0.7256966760638626,0.13854310249007926,0.7802983355676045
17,0.0,0.0005297646996809386,0.0012034689178765346,88,1.599517744249397e-05,0.0007431350416737918,0.0010488728950600393
17,0.01,0.000628589477935936,0.0018503265745766148,77,4.815270600743613e-05,0.0006306563761697608,0.0010489059992517906
17,0.05,0.0028261265916573906,0.013781845169553952,51,0.0005192200558518242,0.0015897702270487965,0.003772539698377035
17,0.1,0.009658301521198722,0.04838023284814354,43,0.0018225395967337026,0.005753398122558529,0.013279114769950476
18,0.0,0.0011492360239291068,0.0014730068471997904,12,1.1169054026752735e-05,0.0026041031756109004,0.0030471926863127464
18,0.01,0.004639681187502887,0.0020126263548664305,113,0.003409345213117891,0.0010051579893442038,0.00525579072268832
18,0.05,0.08626553634876681,0.014162260239320965,120,0.08374702977329455,0.008402882469863178,0.08949231258412493
18,0.1,0.34070964948525484,0.046860511361882594,120,0.3352317604817064,0.017599336060962516,0.34886390840510834
19,0.0,0.0017683679570358415,0.0021197146151543753,22,0.00010600588762949607,0.0033980763159008817,0.003967841344788571
19,0.01,0.0021234810141880756,0.0023901983948182905,22,0.00018460016774577998,0.003538088088952849,0.00441451376675032
19,0.05,0.009917633025679367,0.01019933184543963,10,0.0009554842174541691,0.009774576524397994,0.014732882949980592
19,0.1,0.034618269411540774,0.031904490201798405,120,0.003487727872216827,0.02594992178079881,0.045113315242942376
20,0.0,0.00194133291965392,0.0012015478256589128,6,0.00012259023412714414,0.005004966754098622,0.005421442283386209
20,0.01,0.009689612073336299,0.002502925361306272,120,0.007938081778230485,0.0028380739953113034,0.010744808086838854
20,0.05,0.19137790141190675,0.03169802204149732,120,0.18731856852072146,0.019523968450895105,0.20141267601705398
20,0.1,0.6848508647812659,0.11544540696511968,120,0.6734467171933419,0.09366332060380138,0.7166090495010067
21,0.0,0.00047167549683864614,0.0014881594038891385,112,2.3276346095178014e-05,0.0003894438540840038,0.0006860639483454636
21,0.01,0.0014096849911159194,0.002087163833435605,64,0.0003804512954007161,0.0009701907180570875,0.0019570598610129135
21,0.05,0.02298928841807137,0.013866631312095196,102,0.008126886456605805,0.02054396130524791,0.033474020383696165
21,0.1,0.06694297962072583,0.04009528213103525,120,0.009686445999268583,0.05220282679071235,0.09384631831458064
22,0.0,0.0011445976298442078,0.0012454612279444639,13,1.4369785558098055e-05,0.002955735441534055,0.003304958799729905
22,0.01,0.0012383140935613723,0.0016514283678832828,13,7.977988445870435e-05,0.003084858299372399,0.0034332390282920517
22,0.05,0.003705522245318884,0.005280837895104093,111,0.001479677762199495,0.0037912242113655203,0.006214773889023294
22,0.1,0.008462589789852653,0.008588545934125818,21,0.002937310226991948,0.008315311131827449,0.013582565723420042
23,0.0,0.0010193155053014658,0.0014520072738202082,13,9.842177872421316e-06,0.0012784060745960123,0.001769464668511855
23,0.01,0.0026670644795638208,0.0025836079485491653,19,0.0015372785158908426,0.00331037211307761,0.004635858569848798
23,0.05,0.018225154446917646,0.026894640134921946,23,0.015819312423899536,0.03008540626341777,0.036454221947874114
23,0.1,0.019000677945477627,0.08823771631209683,74,0.013274317578193662,0.031267243395263176,0.03793940237580871
24,0.0,0.0015142602877066895,0.0015454583021618608,27,2.1897294026623596e-05,0.00277856018152858,0.0032968929443371172
24,0.01,0.00170413949063759,0.0025022086655717675,1,0.00022158819642917622,0.0031369488341492315,0.003644507009582702
24,0.05,0.007205345914664023,0.021368707978483684,43,0.005333931149870341,0.00968646831476957,0.012588180981238557
24,0.1,0.015376281698693118,0.07204554621198152,43,0.03140005942126668,0.025053405769436505,0.029940955377915114
25,0.0,0.0006402487193040766,0.0009456540571200721,14,6.5124031821237655e-06,0.001134904328849719,0.0013964914566305998
25,0.01,0.0020893820881088382,0.0015908727572046747,16,0.0013551607068890714,0.001247841709359565,0.0028388218087954096
25,0.05,0.034117376126228685,0.009843315812591388,120,0.03230977026528502,0.0062982680075535785,0.03776139103107283
25,0.1,0.13269499256587078,0.029480318246766255,120,0.12953603389746804,0.02071762732811091,0.14477267545243014
26,0.0,0.0008507768455293044,0.0013651338145818407,85,4.236912729901498e-05,0.0015672817128706093,0.0019330881143717732
26,0.01,0.0011098920335711215,0.0028382451961195066,6,9.650729350574918e-05,0.002221061221283558,0.0025711705682153673
26,0.05,0.006255534540530501,0.030509383759240578,14,0.0021596835266024334,0.00805228788375152,0.011117372649119408
26,0.1,0.01825237644106186,0.11053357057980549,80,0.01554324381130831,0.020686684505230264,0.029997380167423187
27,0.0,0.0015745524802911535,0.0016790761351802347,21,5.6602246621526326e-05,0.0036010485698854977,0.004104096869296447
27,0.01,0.0015564385344451178,0.0022702317731781697,76,0.00020347108270479022,0.0025308181956872275,0.003270506917150791
27,0.05,0.00785225966654529,0.01807367919861608,33,0.005367901274598173,0.005180633001902589,0.01007989648377458
