seed,sigma,month,global_mse,insurer_gap,group_gap,worst_group_mse
20,0.01,58,0.0012226769742498273,0.0005885014525850571,0.0011519256852465325,0.0019507545554431466
20,0.01,59,0.001567051556584906,0.0006351288882436622,0.001977165357433649,0.002682204287494766
20,0.01,60,0.0031171579147474472,0.0,0.0024430332338797028,0.004848289804887388
20,0.01,61,0.003097247766048777,0.0020880953909457193,0.0019170682793322453,0.004251451962570351
20,0.01,62,0.003356500034899768,0.00217395598701207,0.002905135036528032,0.0053167619183904745
20,0.01,63,0.002994082463882428,0.00225368635862868,0.0015987041043218006,0.003990697661933846
20,0.01,64,0.002745357386264472,0.002204110980269233,0.0008071615415385829,0.0031396510705794184
20,0.01,65,0.003012780085357422,0.0024224037366152897,0.0007320535540354827,0.003286834531318115
20,0.01,66,0.0030787338196417114,0.0024309533496608936,0.0005751610780903695,0.0032865126422099307
20,0.01,67,0.003272577096874315,0.0025822671681942446,0.0009426322255433007,0.0037387288563961525
20,0.01,68,0.0034804009968437215,0.002494638647760482,0.0013167180716874608,0.004166217579802933
20,0.01,69,0.0035697777341125053,0.0026184451923964886,0.0016799713764009475,0.004506272520813138
20,0.01,70,0.0019028007152073856,0.0,0.0013230819945979479,0.0024641697983219537
20,0.01,71,0.0019393098329818217,0.0010321604868673661,0.0008567629992274508,0.0022202472526380765
20,0.01,72,0.0019234250608992128,0.0009342534437486243,0.0010702034645652424,0.0023859369686120816
20,0.01,73,0.0017650611065444194,0.0010109441539040366,0.0006783066849272836,0.0021142403970859157
20,0.01,74,0.0017257404456306618,0.0010050794848845503,0.0006638505235844079,0.0020032457153344317
20,0.01,75,0.0020013114128291888,0.001019798022015649,0.0017501059972938355,0.003133277590007809
20,0.01,76,0.002109474561252463,0.0010304504251428185,0.0015470619180343833,0.0029349662714816234
20,0.01,77,0.0019617285081470286,0.0011316968673110279,0.0010537947634981456,0.0024444191175394645
20,0.01,78,0.002285272727100494,0.0011495708795157466,0.002299321311912986,0.0038669051647610164
20,0.01,79,0.0019881208094809943,0.001153443778088951,0.0012437012753688794,0.00262906742598429
20,0.01,80,0.0019540673015049307,0.0,0.001262682328182075,0.0027628780292708295
20,0.01,81,0.002552708090035107,0.0010176906503743775,0.003660555398003509,0.005032798271708761
20,0.01,82,0.002129134363326467,0.0010869921419297335,0.0020724352694026825,0.003369218845368746
20,0.01,83,0.0021049990166164016,0.0010827215059370993,0.001836410866926734,0.003149920465848858
20,0.01,84,0.00177866993793706,0.0010849171054170812,0.0005823610972598349,0.0020253505482906364
20,0.01,85,0.0017579098666999984,0.001356580905097989,0.0009593040988941589,0.002183659035992922
20,0.01,86,0.0016854196605129712,0.0013183821357556072,0.0005944721332051812,0.0019336664952065903
20,0.01,87,0.0017089540388077263,0.0013022393726648547,0.00045331116003624323,0.00191198104172482
20,0.01,88,0.0018315321805680849,0.0013811925169012432,0.00015662954949507372,0.001897058974486464
20,0.01,89,0.0018964937733370751,0.0014590162713435345,0.0001979696465888225,0.0019781182350257363
20,0.01,90,0.0005965737891318476,0.0,0.0008607933882931638,0.0011836459174595743
20,0.01,91,0.0007114962829451968,9.681846556763754e-05,0.0013960986604630381,0.00172530042609522
20,0.01,92,0.0008295865877570243,9.756631176601361e-05,0.002028466108250358,0.002298809009870447
20,0.01,93,0.0009968035979412487,0.00010095112481921166,0.0023490718044490377,0.0026802500997311672
20,0.01,94,0.0005880496143321023,0.00010814932219497994,0.0009745828472393147,0.0012516411808578198
20,0.01,95,0.000733290103669634,0.0001298709750668706,0.0011116666541506443,0.001491633502653717
20,0.01,96,0.0007984361537334878,0.00012273737949561878,0.001579825429981335,0.0019709764499719795
20,0.01,97,0.0011754672928317497,0.00012477813306701214,0.003392549806347024,0.0036985739861540036
20,0.01,98,0.0009371920655336847,0.0001232588110233276,0.0024099887215371487,0.0026909960258607387
20,0.01,99,0.0008041413662840722,0.00010572318250904548,0.0017039001648731227,0.0019843238810201887
20,0.01,100,0.0013758391469037758,0.0,0.002463536657339651,0.003104824990581152
20,0.01,101,0.0016877764862257313,0.00023208404058066038,0.0038004304494608115,0.0043521602836961975
20,0.01,102,0.0014947331041785061,0.00024736907905211544,0.0033098690636734667,0.003809231323834935
20,0.01,103,0.0013225069033147977,0.00029348053152874814,0.0024737417378053296,0.0029828797285347984
20,0.01,104,0.0011689456933075576,0.00031004092656948925,0.0019603825868207614,0.0024625587806287
20,0.01,105,0.001228608974761392,0.00032351068630540655,0.0020993703191646593,0.0025999981478375717
20,0.01,106,0.0010226871356328977,0.0003557872718010518,0.0013561776948061923,0.0018718341311036951
