parameter,value,metric,elasticity,abs_elasticity
imitation_weight,0.0,insured_pct,-0.0,0.0
imitation_weight,0.0,effective_price,-0.00018561058921122043,0.00018561058921122043
imitation_weight,0.0,coverage,-0.00010105373442414126,0.00010105373442414126
imitation_weight,0.0,profit_per_insurer,3.4562093400958096e-06,3.4562093400958096e-06
imitation_weight,0.0,subsidy_per_patient,0.0003574487387156936,0.0003574487387156936
imitation_weight,0.0,risk_mse,0.008285052486521302,0.008285052486521302
imitation_weight,0.0,hhi,0.0005077998312504192,0.0005077998312504192
imitation_weight,0.0,coverage_disparity,-0.0,0.0
imitation_weight,0.0,goal_score,-1.9746532755082066e-06,1.9746532755082066e-06
imitation_weight,0.5,insured_pct,-0.0,0.0
imitation_weight,0.5,effective_price,0.0005020163093476994,0.0005020163093476994
imitation_weight,0.5,coverage,0.0007440935073225386,0.0007440935073225386
imitation_weight,0.5,profit_per_insurer,0.000965428606253376,0.000965428606253376
imitation_weight,0.5,subsidy_per_patient,0.0003677018630110496,0.0003677018630110496
imitation_weight,0.5,risk_mse,0.007281279526789934,0.007281279526789934
imitation_weight,0.5,hhi,0.0014445806904269565,0.0014445806904269565
imitation_weight,0.5,coverage_disparity,-0.0,0.0
imitation_weight,0.5,goal_score,0.00013977508565701351,0.00013977508565701351
imitation_weight,1.5,insured_pct,0.0,0.0
imitation_weight,1.5,effective_price,0.00037214415195274805,0.00037214415195274805
imitation_weight,1.5,coverage,1.923398128929503e-05,1.923398128929503e-05
imitation_weight,1.5,profit_per_insurer,0.0005857069583800015,0.0005857069583800015
imitation_weight,1.5,subsidy_per_patient,0.0029363136799420934,0.0029363136799420934
imitation_weight,1.5,risk_mse,0.008739181313392514,0.008739181313392514
imitation_weight,1.5,hhi,-0.008370298490684786,0.008370298490684786
imitation_weight,1.5,coverage_disparity,0.0,0.0
imitation_weight,1.5,goal_score,-5.4919442804470466e-05,5.4919442804470466e-05
imitation_weight,2.0,insured_pct,-0.00034497033255124766,0.00034497033255124766
imitation_weight,2.0,effective_price,0.00017914716103753102,0.00017914716103753102
imitation_weight,2.0,coverage,-4.141987869067705e-05,4.141987869067705e-05
imitation_weight,2.0,profit_per_insurer,-0.00013100785351849984,0.00013100785351849984
imitation_weight,2.0,subsidy_per_patient,0.001635111818945264,0.001635111818945264
imitation_weight,2.0,risk_mse,0.008020865282291536,0.008020865282291536
imitation_weight,2.0,hhi,-0.006257696139300156,0.006257696139300156
imitation_weight,2.0,coverage_disparity,0.018281535648994596,0.018281535648994596
imitation_weight,2.0,goal_score,-0.000253395858307155,0.000253395858307155
gap_beta,1.0,insured_pct,-0.012936387470677303,0.012936387470677303
gap_beta,1.0,effective_price,0.0240563567783111,0.0240563567783111
gap_beta,1.0,coverage,0.001802797712267977,0.001802797712267977
gap_beta,1.0,profit_per_insurer,-0.008924009506277975,0.008924009506277975
gap_beta,1.0,subsidy_per_patient,0.005252399502271839,0.005252399502271839
gap_beta,1.0,risk_mse,0.000979966705816689,0.000979966705816689
gap_beta,1.0,hhi,-0.03273370744269117,0.03273370744269117
gap_beta,1.0,coverage_disparity,0.21937842778793398,0.21937842778793398
gap_beta,1.0,goal_score,-0.011233491796864326,0.011233491796864326
gap_beta,2.0,insured_pct,-0.005174554988270783,0.005174554988270783
gap_beta,2.0,effective_price,-0.04681440329760637,0.04681440329760637
gap_beta,2.0,coverage,0.0007309737957053656,0.0007309737957053656
gap_beta,2.0,profit_per_insurer,-0.0036357347377856545,0.0036357347377856545
gap_beta,2.0,subsidy_per_patient,0.001425819756723685,0.001425819756723685
gap_beta,2.0,risk_mse,-0.0013098366174644385,0.0013098366174644385
