parameter,value,seed,insured_pct,effective_price,coverage,profit_per_insurer,subsidy_per_patient,risk_mse,hhi,coverage_disparity,goal_score,convergence_month
tau,0.1,29,0.9600000000000002,168.65355567706155,0.7970570971745644,3059.4390300001605,0.0,0.0038515000899761844,0.54198,0.12000000000000002,0.7943673052246902,41
tau,0.125,0,0.9700000000000001,168.0469967822073,0.7880832421371127,2904.3552522737136,0.0,0.012185722901282175,0.58714,0.07999999999999996,0.8028683221326318,43
tau,0.125,1,0.945,164.77069014871293,0.790102806275671,2794.2609877236655,0.0,0.019023858427365103,0.4503500000000001,0.16000000000000006,0.7856835863347305,64
tau,0.125,2,0.9600000000000002,165.98036539066703,0.7740762626255245,2788.1302913234094,0.0,0.01786625723343506,0.48007999999999995,0.16000000000000006,0.7920047813560331,29
tau,0.125,3,0.9600000000000002,165.7071800971332,0.7722167986471167,2955.842219258125,0.0,0.00517300024753586,0.50692,0.12000000000000002,0.7901305643569699,20
tau,0.125,4,0.93,167.13631068089038,0.7687622219423846,2720.592868738785,0.0,0.004575804684287215,0.4648600000000001,0.12000000000000002,0.7748717307249987,15
tau,0.125,5,0.9600000000000002,160.5745236142659,0.7688028431539922,2682.1835762187525,0.0,0.006142160444751956,0.4964400000000001,0.07999999999999996,0.7936152706561571,113
tau,0.125,6,0.9800000000000001,160.80944273747548,0.7536240396313965,2773.416399563305,0.0,0.012200643850995778,0.4721,0.040000000000000036,0.7926249066234529,33
tau,0.125,7,0.9630000000000001,156.55315541669205,0.7802635565732188,2865.3755409790347,0.1933460868519238,0.006397898647631878,0.49467,0.06799999999999998,0.7898970890370818,27
tau,0.125,8,0.9800000000000001,163.48935633962736,0.7796248998045476,2980.912204774743,0.0,0.006498734555422099,0.52956,0.040000000000000036,0.7980404611400722,34
tau,0.125,9,0.9700000000000001,159.7310575221385,0.7904340823262133,3021.7942854593116,0.0,0.006366187052511629,0.51196,0.07999999999999996,0.8089417597947073,72
tau,0.125,10,0.99,155.639626182342,0.7649365067460427,2823.958337244508,0.0,0.007425961955060016,0.60564,0.040000000000000036,0.7932929031221956,120
tau,0.125,11,0.9700000000000001,170.0892036886864,0.7768634234459599,2890.724668578701,0.0,0.008627585747948124,0.5418399999999999,0.07999999999999996,0.7945691239290078,23
tau,0.125,12,0.9700000000000001,166.37776349511373,0.8036303349896986,2987.0330501253625,0.0,0.008536525220786498,0.46304000000000006,0.07999999999999996,0.8050477759346307,35
tau,0.125,13,0.9800000000000001,166.38298026123007,0.7672048978853285,2723.877217305101,0.0,0.00522105488674029,0.5168200000000001,0.040000000000000036,0.7919423293891676,42
tau,0.125,14,0.9499999999999998,167.32562739540467,0.7875127012022025,2990.2938776059373,0.0,0.023774853092258522,0.51162,0.07999999999999996,0.7851482551784864,34
tau,0.125,15,0.9800000000000001,163.7835088596642,0.7761300703160916,3049.010476826497,0.0,0.009552630117545504,0.4687200000000001,0.040000000000000036,0.8029976710903407,82
tau,0.125,16,0.9800000000000001,162.70184210317842,0.7780231390107633,2830.673157098754,0.0,0.009537323854193354,0.5119,0.040000000000000036,0.8047498235005068,14
tau,0.125,17,0.9600000000000002,159.57480230320147,0.7626977020664956,2752.0123483958764,0.0,0.004753001666106783,0.54018,0.12000000000000002,0.7922849490017965,113
tau,0.125,18,0.9499999999999998,161.011303004479,0.7762500949206321,2775.4088751226604,0.0,0.012453431730354316,0.5940399999999999,0.039999999999999925,0.7787269803182326,33
tau,0.125,19,0.9700000000000001,161.26714927670315,0.775912755109931,2648.8935240404217,0.0,0.023450170166738095,0.62448,0.07999999999999996,0.8023472186598355,20
tau,0.125,20,0.9499999999999998,167.34086567615796,0.7834505558788004,2789.7539188141836,0.0,0.035555713397312276,0.6415000000000001,0.039999999999999925,0.7833255023066776,120
tau,0.125,21,0.99,157.9223699410408,0.7731944116867334,2846.049759453442,0.0,0.02668703666018001,0.43916000000000005,0.040000000000000036,0.8076994957910039,14
tau,0.125,22,0.9600000000000002,160.9851930434324,0.7637134142489043,2702.95552883473,0.0,0.007836905686909456,0.50742,0.07999999999999996,0.789465991772677,120
tau,0.125,23,0.9800000000000001,156.5412475866379,0.7628973960165105,2894.70529554149,0.0,0.009782815914888826,0.52472,0.040000000000000036,0.7949261082639622,14
tau,0.125,24,0.9600000000000002,154.2685914950933,0.7617799303972607,2477.4221951201785,0.0,0.01025226155243706,0.4622800000000001,0.07999999999999996,0.7857949720006765,113
tau,0.125,25,0.9700000000000001,163.45060216547995,0.7927192227293626,3161.122964363089,0.0,0.00843071982002818,0.4948200000000001,0.040000000000000036,0.8001001072935539,120
tau,0.125,26,0.9700000000000001,161.69825295112543,0.7963980530152306,2750.7678484256803,0.0,0.017351576136842486,0.48638000000000003,0.07999999999999996,0.8039928740942704,23
tau,0.125,27,0.9600000000000002,164.35081270981195,0.7847179690610174,2902.2135196588565,0.0,0.0064712366089111645,0.6327200000000002,0.07999999999999996,0.7871614109267072,40
tau,0.125,28,0.9499999999999998,161.03304891129218,0.7645515034172004,2705.883121166807,0.0,0.019605427603045993,0.36344000000000004,0.07999999999999996,0.7768135607514586,60
tau,0.125,29,0.9600000000000002,164.7762175495207,0.7970570971745644,3059.4390300001605,0.0,0.0038515000899761844,0.54198,0.12000000000000002,0.7972352931749903,41
tau,0.15,0,0.9700000000000001,164.0774545006936,0.7880832421371127,2904.3552522737136,0.0,0.012185722901282175,0.58714,0.07999999999999996,0.8056688129252937,43
tau,0.15,1,0.945,160.97342789664665,0.790102806275671,2794.2609877236655,0.0,0.019023858427365103,0.4503500000000001,0.16000000000000006,0.7885379767107865,64
tau,0.15,2,0.9600000000000002,162.62352512909678,0.7740762626255245,2788.1302913234094,0.0,0.01786625723343506,0.48007999999999995,0.16000000000000006,0.7944360716339186,29
tau,0.15,3,0.9600000000000002,162.25538134698027,0.7722167986471167,2955.842219258125,0.0,0.00517300024753586,0.50692,0.12000000000000002,0.7926622177681297,20
tau,0.15,4,0.9200000000000002,167.17863263180473,0.7682772706411607,2690.591149380211,0.0,0.004609534433774308,0.46221999999999996,0.07999999999999996,0.769695579222731,15
tau,0.15,5,0.9600000000000002,157.22765380823535,0.7688028431539922,2682.1835762187525,0.0,0.006142160444751956,0.4964400000000001,0.07999999999999996,0.7960544288641234,113
tau,0.15,6,0.9800000000000001,157.11057362790024,0.7536240396313965,2773.416399563305,0.0,0.012200643850995778,0.4721,0.040000000000000036,0.7954647395994044,33
tau,0.15,7,0.9630000000000001,152.2147571932653,0.7802635565732188,2865.3755409790347,0.1933460868519238,0.006397898647631878,0.49467,0.06799999999999998,0.7933799449671319,27
