seed,mechanism,insured_pct,accepted_premium,accepted_coverage,profit_per_insurer,subsidy_total,hhi,override_residual,assignment_override_rate,premium_override,coverage_override
8,Bayesian direct mechanism,0.73,214.53485325487114,0.7921084112882093,1054.1123999792565,0.0,0.8161911068821224,0.3313106313536376,0.27999999999999997,0.05902205100040122,0.04359921170687396
8,Central welfare planner,0.9949999999999999,220.84362189071484,0.7866698106183452,1257.969667111161,115.46194358986445,0.412421975308642,0.30746835116659993,0.24100000000000002,0.10559369828223472,0.02734300405096508
8,FL-IMDR restricted,0.9890000000000001,219.26731077417003,0.7575786940881902,1675.0475919651647,643.4095851651513,0.5177834002862716,0.0,0.0,0.0,0.0
9,Bayesian direct mechanism,0.733,216.64831916266297,0.7926381997058084,1061.0930006360923,0.0,0.7419520126703552,0.32955950159424335,0.277,0.05784174245615794,0.047277260732328796
9,Central welfare planner,1.0,222.1365026820293,0.7847858368257195,1265.8813017830864,120.37908157630645,0.37642000000000003,0.33158937403803385,0.264,0.10380390959904877,0.031374838477018906
9,FL-IMDR restricted,0.976,220.52394190008272,0.7529865840803351,1650.2967189111946,609.7604996298046,0.5327708617192595,0.0,0.0,0.0,0.0
10,Bayesian direct mechanism,0.736,214.12011849109535,0.7948879012822052,1062.2309733532454,0.0,0.6817510949209681,0.38480974925174494,0.332,0.05977703121398872,0.045842467289501095
10,Central welfare planner,1.0,219.36601295094025,0.7882080611544382,1262.6030593456005,122.05568993640311,0.4037,0.3199203482912061,0.251,0.10633816247720662,0.03150253410520557
10,FL-IMDR restricted,0.966,219.94382884664998,0.7634815172131708,1648.580064936521,518.951071360502,0.4742676668082707,0.0,0.0,0.0,0.0
11,Bayesian direct mechanism,0.655,213.3240775801699,0.7928822404602556,944.4290466343489,0.0,0.7391790354707354,0.32140366277260685,0.268,0.058433347409921586,0.04837397813529214
11,Central welfare planner,0.99,220.3687615029355,0.7838518066009951,1252.8274805786116,261.0009798127384,0.3593714927048261,0.3145646910233539,0.246,0.10348691981386629,0.03364246223284147
11,FL-IMDR restricted,0.959,218.99382443209674,0.7533500433247007,1614.0435638732063,646.3715837225197,0.5521712874506876,0.0,0.0,0.0,0.0
12,Bayesian direct mechanism,0.759,214.34444658304847,0.7936385077597745,1095.7332575966025,0.0,0.7039853868476238,0.29309174657569115,0.24100000000000002,0.05918101531870572,0.04500247783267657
12,Central welfare planner,0.986,219.86544481735427,0.7876845133762347,1245.7398750235975,139.44454751954328,0.4081904960781187,0.35574226175720547,0.28700000000000003,0.10595247110443547,0.03153205240997541
12,FL-IMDR restricted,0.967,219.94701908880728,0.7603436660290744,1639.4112257648442,499.30971238754717,0.49535047570071794,0.0,0.0,0.0,0.0
13,Bayesian direct mechanism,0.6799999999999999,214.32381432060652,0.7928451325120981,981.6537214149452,0.0,0.7810451344508903,0.3514244161651326,0.298,0.05800707189709746,0.04884176043316771
13,Central welfare planner,0.9949999999999999,220.9819400344082,0.7851103234735338,1259.2420882459862,208.67865662712848,0.4012389327619631,0.2933294744352234,0.22600000000000003,0.1047215755355047,0.029937373334942043
13,FL-IMDR restricted,0.97,220.82901133555782,0.7578016519349677,1655.9258942474783,637.1576600230753,0.4742301778732526,0.0,0.0,0.0,0.0
14,Bayesian direct mechanism,0.7070000000000001,214.89418235973102,0.79300941453336,1021.3273756543398,0.0,0.7938636821419667,0.32856866137842433,0.278,0.0584025544227065,0.042734768334142234
14,Central welfare planner,1.0,220.47283082039317,0.784490845718764,1264.5684834773044,176.46953005423524,0.3698,0.3467012113361111,0.279,0.10528123736375965,0.030121185308462518
14,FL-IMDR restricted,0.99,218.8743079199396,0.7548141748694311,1669.743714594121,680.3453251852122,0.5451458468011555,0.0,0.0,0.0,0.0
