seed,round,mechanism,insured_pct,accepted_premium,accepted_coverage,profit_per_insurer,total_profit,subsidy_total,hhi,override_residual,assignment_override_rate,premium_override,coverage_override,mean_allocation_probability
0,47,Central welfare planner,1.0,218.41585249285282,0.7837442182332341,1261.7430217927795,5046.972087171118,144.82858130818457,0.4014,0.3385362525019677,0.27,0.106392226252049,0.030680278751886468,
0,48,Central welfare planner,1.0,218.5121447310321,0.7839997134998526,1262.4049255183409,5049.619702073363,190.79927043743245,0.3994,0.33873067284275066,0.27,0.10656391273267438,0.030897432952826893,
0,49,Central welfare planner,1.0,218.485574750017,0.7840167904923172,1262.1588021391526,5048.63520855661,172.7819046870995,0.4038,0.31928263092168097,0.25,0.10726168280321194,0.03130357904015001,
0,50,Central welfare planner,1.0,218.6627864746429,0.7843081632539572,1262.6332472096524,5050.5329888386095,194.91411814648413,0.41159999999999997,0.28862865365609736,0.22,0.10648400800589432,0.03077329930630043,
0,51,Central welfare planner,1.0,218.39505835990775,0.784896683215328,1262.1919602502767,5048.767841001107,184.6188250324598,0.40919999999999995,0.29000624251776563,0.22,0.1070009261948589,0.0330115588406723,
0,52,Central welfare planner,1.0,218.20581156833848,0.7835011947718894,1261.9237011419957,5047.694804567983,181.00973909376498,0.39059999999999995,0.2992489702452097,0.23,0.10649455072823297,0.032003389762186404,
0,53,Central welfare planner,1.0,218.54016302242832,0.7834,1262.6549038443923,5050.619615377569,208.99562068610575,0.38260000000000005,0.31013692768962164,0.24,0.10677317626586463,0.03350067911337873,
0,54,Central welfare planner,1.0,217.89554272203287,0.7828666666666669,1261.8896249386648,5047.558499754659,209.17422264454441,0.3738,0.3605115331230736,0.29,0.10731471154085905,0.03370835470528818,
0,55,Central welfare planner,1.0,218.1296982687589,0.7834000000000002,1262.2360991554465,5048.944396621786,214.8625021816007,0.38260000000000005,0.3390716306502113,0.27,0.10625475317920455,0.03188850812121804,
0,56,Central welfare planner,1.0,217.7076513717313,0.7839333333333335,1261.821955796811,5047.287823187244,222.27914975898287,0.3918,0.3491935461368803,0.28,0.10654500508731832,0.03184208718644224,
0,57,Central welfare planner,1.0,218.14497990725383,0.7829482233108933,1262.3767797211376,5049.50711888455,225.15150585016644,0.37620000000000003,0.3404784304072112,0.27,0.10666850418789225,0.034288356626530146,
0,58,Central welfare planner,1.0,218.14534636163742,0.783071540266938,1262.113355684847,5048.453422739388,202.9872413633879,0.39299999999999996,0.3100173540798389,0.24,0.10673774137415959,0.033296966785518245,
0,59,Central welfare planner,1.0,217.86591122157122,0.7827372461849135,1261.5375703277746,5046.150281311098,182.56478537592042,0.36960000000000004,0.31973133730611114,0.25,0.10687550746865324,0.03258716714356911,
0,60,Central welfare planner,1.0,217.80329004458082,0.7836978195961634,1261.5584777070878,5046.233910828351,190.58312293727758,0.38460000000000005,0.33987415617304767,0.27,0.1069267752150384,0.03282153713105689,
0,61,Central welfare planner,1.0,218.5735554264117,0.7839333333333335,1262.4598458743103,5049.839383497241,189.27151080089132,0.38420000000000004,0.3483218040209224,0.28,0.10649110722789162,0.030152500813953143,
0,62,Central welfare planner,1.0,217.65591344083012,0.7831333333333335,1261.7092793340662,5046.837117336265,217.98811997852283,0.37560000000000004,0.34797713401390296,0.28,0.10634813860445311,0.02960612942335268,
