mechanism,round,n,insured_pct_mean,insured_pct_ci95,override_residual_mean,override_residual_ci95
Bayesian direct mechanism,55,50,0.6998000000000001,0.012377013533158955,0.3420051933737443,0.014054234456702185
Bayesian direct mechanism,56,50,0.7034,0.011333741482846695,0.3465549771022467,0.012560924167860948
Bayesian direct mechanism,57,50,0.7121999999999999,0.01289569478547007,0.3403271446748139,0.013146596302300065
Bayesian direct mechanism,58,50,0.7058,0.012244550788003619,0.3444014119119677,0.012922222019156373
Bayesian direct mechanism,59,50,0.7116,0.012501427758460228,0.340930882188387,0.011792924487362322
Bayesian direct mechanism,60,50,0.7114,0.012782360345413517,0.34133471514736013,0.012853748673571213
Bayesian direct mechanism,61,50,0.7014,0.012243526289431489,0.34681864795784256,0.01275856600410436
Bayesian direct mechanism,62,50,0.6982,0.013506220196635324,0.3508494208832513,0.014102112388045032
Bayesian direct mechanism,63,50,0.7008,0.009417994691015698,0.344519397596129,0.011172686281080023
Bayesian direct mechanism,64,50,0.7116,0.010950255522132803,0.34324959102290153,0.011790541252919633
Bayesian direct mechanism,65,50,0.7088,0.0120710854524355,0.33690724022788826,0.012789305896665059
Bayesian direct mechanism,66,50,0.7048000000000002,0.013582049329905997,0.3397979853032594,0.013720450275867624
Bayesian direct mechanism,67,50,0.7093999999999998,0.011989886404799671,0.3365890278911043,0.014042959413375076
Bayesian direct mechanism,68,50,0.7071999999999999,0.0117204668848984,0.3421937182974342,0.01052156073114461
Bayesian direct mechanism,69,50,0.711,0.011479999999999999,0.3373707350373899,0.011966720449215122
Bayesian direct mechanism,70,50,0.704,0.01157182785907222,0.33904502813307985,0.01344978436928368
Bayesian direct mechanism,71,50,0.7116,0.0111489235354809,0.33945788773735946,0.01167888381586551
Bayesian direct mechanism,72,50,0.699,0.011843040150231694,0.3443891837060625,0.012693995459355198
Bayesian direct mechanism,73,50,0.6901999999999999,0.010302934727542437,0.3571733852713177,0.013335969066429561
Bayesian direct mechanism,74,50,0.7019999999999998,0.011129779872037001,0.3371433895899896,0.01229354260503381
Bayesian direct mechanism,75,50,0.7066,0.01231503536332722,0.3423450158935369,0.014082665047440325
Bayesian direct mechanism,76,50,0.6911999999999999,0.012948478829576851,0.3558383234388536,0.014259401327129731
Bayesian direct mechanism,77,50,0.6896000000000001,0.009369922945254135,0.35417478710472045,0.012381412694565332
Bayesian direct mechanism,78,50,0.7127999999999999,0.012231097416013005,0.3353623278455288,0.01276586253683566
Bayesian direct mechanism,79,50,0.6995999999999998,0.01350935438871895,0.3447784175713347,0.014843418208717882
Bayesian direct mechanism,80,50,0.7042,0.01012795260652418,0.34418579716561,0.013179207357687815
Bayesian direct mechanism,81,50,0.699,0.011438951000856677,0.3492509234685499,0.014153125635073727
Bayesian direct mechanism,82,50,0.6978,0.012425061126610201,0.35575379357713843,0.013868525385324498
Bayesian direct mechanism,83,50,0.6984,0.011274790286298011,0.3520308690616519,0.013151702161212808
Bayesian direct mechanism,84,50,0.7051999999999998,0.009654763798250062,0.3421412272819978,0.01062489245856855
